Usia Kepala Rumah Tangga,Jumlah Tanggungan Keluarga (termasuk Kepala Keluarga),Luas lahan yang dikelola,Frekuensi Panen per Tahun,Produksi Rata - Rata per Panen (Kwintal/Ha),Harga Jual Rata-Rata Hasil Panen Utama (Rp/kg),Pengeluaran Rata-Rata Benih per Tahun (Rp),Pengeluaran Rata-Rata Pupuk per Tahun (Rp),Pengeluaran Rata-Rata Biaya Perawatan per Tahun (Rp),Pendidikan Terakhir_Diploma,Pendidikan Terakhir_SD,Pendidikan Terakhir_SMA,Pendidikan Terakhir_SMP,Pendidikan Terakhir_Sarjana,Status Petani_Buruh Tani,Status Petani_Petani Pemilik,Status Petani_Petani Penggarap,Status Kepemilikan Lahan_Bagi Hasil,Status Kepemilikan Lahan_Milik Sendiri,Status Kepemilikan Lahan_Sewa,Komoditas Utama yang ditanam_Bawang,Komoditas Utama yang ditanam_Cabai,Komoditas Utama yang ditanam_Jagung,Komoditas Utama yang ditanam_Kedelai,Komoditas Utama yang ditanam_Padi,Pola Tanam_Monokultur,Pola Tanam_Rotasi,Pola Tanam_Tumpangsari,Sistem Irigasi_Irigasi Teknis,Sistem Irigasi_Sumur,Sistem Irigasi_Tadah Hujan,Pernah Gagal Panen dalam 5 Tahun Terakhir?_Tidak,Pernah Gagal Panen dalam 5 Tahun Terakhir?_Ya,Stok Pupuk Saat Ini_Ada,Stok Pupuk Saat Ini_Habis,Menerima Subsidi Benih/Pupuk Pemerintah?_Tidak,Menerima Subsidi Benih/Pupuk Pemerintah?_Ya,Pernah Mengikuti Pelatihan dari Dinas/Kementerian?_Tidak,Pernah Mengikuti Pelatihan dari Dinas/Kementerian?_Ya,Sumber Utama Pangan Pokok_Bantuan,Sumber Utama Pangan Pokok_Beli Pasar,Sumber Utama Pangan Pokok_Panen Sendiri,Pernah Kehabisan Pangan Pokok dalam 3 Bulan Terakhir?_Tidak,Pernah Kehabisan Pangan Pokok dalam 3 Bulan Terakhir?_Ya,Status Kemandirian Pangan Rumah Tangga_Mandiri,Status Kemandirian Pangan Rumah Tangga_Rentan,Status Kemandirian Pangan Rumah Tangga_Tidak Mandiri,Cadangan Pangan Keluarga dari Hasil Panen?_Tidak,Cadangan Pangan Keluarga dari Hasil Panen?_Ya,Strategi Saat Kekurangan Pangan atau Gagal Panen_Jual Aset,Strategi Saat Kekurangan Pangan atau Gagal Panen_Kurangi Konsumsi,Strategi Saat Kekurangan Pangan atau Gagal Panen_Pinjam Uang,Keikutsertaan dalam Koperasi atau Organisasi Tani_Tidak,Keikutsertaan dalam Koperasi atau Organisasi Tani_Ya,Pernah Menerima Bantuan Pangan Pemerintah?_Tidak,Pernah Menerima Bantuan Pangan Pemerintah?_Ya,Sumber Pinjaman Utama Saat Darurat_Bank,Sumber Pinjaman Utama Saat Darurat_Koperasi,Sumber Pinjaman Utama Saat Darurat_Tetangga,"Akses ke Informasi Pertanian (cuaca, harga, dll)_Mudah","Akses ke Informasi Pertanian (cuaca, harga, dll)_Sedang","Akses ke Informasi Pertanian (cuaca, harga, dll)_Sulit",Sumber Informasi Pertanian Utama_Internet,Sumber Informasi Pertanian Utama_Penyuluh,Sumber Informasi Pertanian Utama_Tetangga,Apakah mempunyai pekerjaan sampingan?_Tidak,Apakah mempunyai pekerjaan sampingan?_Ya,Pernah Terdampak Kekeringan Ekstrem dalam 5 Tahun Terakhir?_Tidak,Pernah Terdampak Kekeringan Ekstrem dalam 5 Tahun Terakhir?_Ya,Kondisi Tanah Dominan (berdasarkan persepsi petani)_Kurang Subur,Kondisi Tanah Dominan (berdasarkan persepsi petani)_Sedang,Kondisi Tanah Dominan (berdasarkan persepsi petani)_Subur,Apakah pola tanam berubah akibat iklim?_Tidak,Apakah pola tanam berubah akibat iklim?_Ya
1.0,1.0,0.27628865979381445,0.0,0.591289782244556,0.05184587452087952,0.13009434222411437,0.36797049903811696,0.24459451239602392,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True
0.6000000000000001,0.4,0.6082474226804124,1.0,0.07705192629815749,0.4837603389146662,0.8122894417014556,0.3235655727824859,0.7462490052260482,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False
0.10000000000000009,0.20000000000000007,0.5381443298969073,0.6666666666666667,0.9932998324958122,0.9197095017147469,0.9635820317307867,0.5460056539760244,0.8932446611685869,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True
0.375,0.4,0.7525773195876289,0.3333333333333333,1.0,0.2279604599556183,0.12616448113121886,0.07891780520300798,0.9126459213000746,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False
0.5250000000000001,0.6,0.15670103092783505,0.0,0.8726968174204353,0.4924349404881986,0.2135166237226942,0.6296452845229237,0.8078398325231522,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True
0.20000000000000007,0.20000000000000007,0.265979381443299,0.3333333333333333,0.7152428810720268,0.6586645148275166,0.6158750784391664,0.8717481200288646,0.4772119464114638,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True
0.5250000000000001,0.20000000000000007,0.27835051546391754,1.0,0.2428810720268007,0.7809158765382288,0.266509552932061,0.15847646399889428,0.10030971051444387,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True
0.8500000000000001,0.6,0.18350515463917527,0.0,0.048576214405360085,0.8926770223925761,0.12948431586586412,0.39786883032768317,0.1740628849204941,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True
0.44999999999999996,0.8000000000000002,0.7422680412371134,1.0,0.5041876046901173,0.8769416986080291,0.07816610069403107,0.8553217768077697,0.08243013772233515,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False
0.375,0.20000000000000007,0.6762886597938145,0.0,0.4589614740368509,0.9297962477304821,0.1012711012287289,0.9055514394495812,0.22385835432707663,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True
0.20000000000000007,0.0,0.7484536082474228,0.3333333333333333,0.7202680067001674,0.3356869074036716,0.7108138773934455,0.8228025753073285,0.2642182977580203,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True
0.2250000000000001,0.4,0.5855670103092784,0.6666666666666667,0.3651591289782245,0.06516037926165019,0.29424927412243973,0.42002990917959493,0.7062383098220305,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True
0.15000000000000002,0.6,0.22268041237113403,0.3333333333333333,0.021775544388609736,0.3185394391769215,0.4609492332970815,0.4690248739587636,0.9161008916215956,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False
0.55,0.8000000000000002,0.9917525773195878,0.6666666666666667,0.043551088777219416,0.7199919306031873,0.7312817077509667,0.906929174226998,0.7274177442328456,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False
